,h
2017-01-18,20.80138225750735
2017-01-19,20.796458270144157
2017-01-20,20.790599061431823
2017-01-21,20.78336502001766
2017-01-22,20.774663146808777
2017-01-23,20.765813583456914
2017-01-24,20.756666126771545
2017-01-25,20.74728639636658
2017-01-26,20.73839884591708
2017-01-27,20.72992844685243
2017-01-28,20.721713021386442
2017-01-29,20.715572468680577
2017-01-30,20.709078508575367
2017-01-31,20.704238267019832
2017-02-01,20.69891133031401
2017-02-02,20.693216737778698
2017-02-03,20.71413600510446
2017-02-04,20.88756890090203
2017-02-05,20.969934843950202
2017-02-06,20.98934119307526
2017-02-07,21.008508447344802
2017-02-08,21.019092971256907
2017-02-09,21.013957265930994
2017-02-10,21.001504051090052
2017-02-11,20.9837830714037
2017-02-12,20.96508793733923
2017-02-13,20.9451882779393
2017-02-14,20.924603887381345
2017-02-15,20.905205278639382
2017-02-16,20.88687944352881
2017-02-17,20.869799259639557
2017-02-18,20.853944900895364
2017-02-19,20.839168783499925
2017-02-20,20.825359358815003
2017-02-21,20.812407757899287
2017-02-22,20.800255929701088
2017-02-23,20.78878792476514
2017-02-24,20.77834221503206
2017-02-25,20.76833516716284
2017-02-26,20.75869868242164
2017-02-27,20.749690352112275
2017-02-28,20.750880875906425
2017-03-01,20.79018800862691
2017-03-02,20.82072210885448
2017-03-03,20.833258757020438
2017-03-04,20.890977095821405
2017-03-05,20.92995169360821
2017-03-06,20.954844360148567
2017-03-07,20.956671620525977
2017-03-08,20.989551207378387
2017-03-09,20.999395150449573
2017-03-10,20.98706893771314
2017-03-11,20.96768481453585
2017-03-12,20.951614491596544
2017-03-13,20.975701902833045
2017-03-14,20.982394944008423
2017-03-15,20.973198854037115
2017-03-16,20.956789114493677
2017-03-17,20.93738727152424
2017-03-18,20.918498852452558
2017-03-19,20.900227739149287
2017-03-20,20.88369290843571
2017-03-21,20.868498980158254
2017-03-22,20.85933929468477
2017-03-23,20.856642358131108
2017-03-24,20.85042391013456
2017-03-25,20.84116446339854
2017-03-26,20.829645878409103
2017-03-27,20.817270800890523
2017-03-28,20.80497379591449
2017-03-29,20.793244394571136
2017-03-30,20.782138532763316
2017-03-31,20.771622016783358
2017-04-01,20.76214771128013
2017-04-02,20.76488765968259
2017-04-03,20.77041768559955
2017-04-04,20.768427810981645
2017-04-05,20.76146627982513
2017-04-06,20.75293213820593
2017-04-07,20.743856387138774
2017-04-08,20.734841760862817
2017-04-09,20.72610611481673
2017-04-10,20.717749519219527
2017-04-11,20.70986782024215
2017-04-12,20.702424365804738
2017-04-13,20.695367490206024
2017-04-14,20.688657275594323
2017-04-15,20.682260385285407
2017-04-16,20.676149192695135
2017-04-17,20.670297777703507
2017-04-18,20.664684267008305
2017-04-19,20.659290273840295
2017-04-20,20.654101045648698
2017-04-21,20.649103625582974
2017-04-22,20.644286349916595
2017-04-23,20.639638684040293
2017-04-24,20.635151088522772
2017-04-25,20.630854305200447
2017-04-26,20.62677998715258
2017-04-27,20.6227899568035
2017-04-28,20.618892573169973
2017-04-29,20.615102486361238
2017-04-30,20.61141414553682
2017-05-01,20.61534764520273
2017-05-02,20.625428273063914
2017-05-03,20.62850944870152
2017-05-04,20.62657786760342
2017-05-05,20.622230360875076
2017-05-06,20.654051056899927
2017-05-07,20.664239842092524
2017-05-08,20.660678432562953
2017-05-09,20.65365675234408
2017-05-10,20.645867363200633
2017-05-11,20.642415440653334
2017-05-12,20.63729163326991
2017-05-13,20.634544253092272
2017-05-14,20.631428468789665
2017-05-15,20.62655722998975
2017-05-16,20.621064968781287
2017-05-17,20.615658316241603
2017-05-18,20.614481800667093
2017-05-19,20.74890234992738
2017-05-20,20.79811160173153
2017-05-21,20.793808252860046
2017-05-22,20.774793436828805
2017-05-23,20.755003278957133
2017-05-24,20.73781395558746
2017-05-25,20.72288398845986
2017-05-26,20.70980038731175
2017-05-27,20.698295824985145
2017-05-28,20.688080793786416
2017-05-29,20.678886558498537
2017-05-30,20.672227431130775
2017-05-31,20.66537277032342
2017-06-01,20.658942822027733
2017-06-02,20.65246931095325
2017-06-03,20.647191944710208
2017-06-04,20.729825078243277
2017-06-05,20.766590321438915
2017-06-06,20.766510691526204
2017-06-07,20.75296640173482
2017-06-08,20.737839561188473
2017-06-09,20.759473400348487
2017-06-10,20.763485642735247
2017-06-11,20.75199739151647
2017-06-12,20.737250072869152
2017-06-13,20.723642908864278
2017-06-14,20.712200758771385
2017-06-15,20.702262283557115
2017-06-16,20.692902609005
2017-06-17,20.684100161639414
2017-06-18,20.675906421104827
2017-06-19,20.66831155792787
2017-06-20,20.66124800143338
2017-06-21,20.654647085638754
2017-06-22,20.648449396628656
2017-06-23,20.642607428806766
2017-06-24,20.637081278893326
2017-06-25,20.63183870802026
2017-06-26,20.626856069023926
2017-06-27,20.637481027447908
2017-06-28,20.870492273945388
2017-06-29,20.91394944159766
2017-06-30,20.997002029476462
2017-07-01,21.033007103061482
2017-07-02,21.02456686073404
2017-07-03,20.99740567862005
2017-07-04,20.96565043344566
2017-07-05,20.934208782660935
2017-07-06,20.906059423289506
2017-07-07,20.881841401513725
2017-07-08,20.868535412082093
2017-07-09,20.852720510063264
2017-07-10,20.83704606473398
2017-07-11,20.822242423367666
2017-07-12,20.807807939737394
2017-07-13,20.794247934733807
2017-07-14,20.781828813559606
2017-07-15,20.77011445220027
2017-07-16,20.759081415886705
2017-07-17,20.748710671098625
2017-07-18,20.738961721320116
2017-07-19,20.730448786636348
2017-07-20,20.722196145060437
2017-07-21,20.714091672393714
2017-07-22,20.706305423584805
2017-07-23,20.69885514623161
2017-07-24,20.693301186846433
2017-07-25,20.68879717097249
2017-07-26,20.68319637402979
2017-07-27,20.67919526876287
2017-07-28,20.67480549582621
2017-07-29,20.66929229629077
2017-07-30,20.663375712264354
2017-07-31,20.65753190785988
2017-08-01,20.65302226304173
2017-08-02,20.648140366684608
2017-08-03,20.64303738496796
2017-08-04,20.638037391181697
